Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Madrak,Faaliat,T.shaghel,n.t.s,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
10001000707,0,6,1,38,1,2,4,1,1,1,4,90,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,14816000,NA,NA,5850000,1090000,400000,1530000,320000,1690000,NA,2850000,437520004,NA,NA,32760000
10001000711,0,3,2,59,1,2,1,3,1,1,3,90,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8934500,NA,1300000,3766000,825000,120000,320000,540000,NA,250000,2340000,NA,216000000,192000000,16380000
10001000715,0,3,1,60,1,2,1,3,1,1,3,80,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8590000,NA,8350000,4460000,760000,267000,1050000,500000,NA,500000,840000,248800004,NA,192000000,16380000
10001000716,0,1,2,65,2,NA,NA,3,NA,1,3,75,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,6221000,NA,NA,3735000,150000,760000,100000,170000,NA,NA,290000,NA,NA,120000000,5460000
10001000720,0,4,1,38,1,2,4,1,1,1,3,75,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8043000,NA,1610000,3772000,710000,224000,210000,450000,350000,300000,1400000,296000008,NA,NA,21840000
10001000723,0,3,1,26,1,2,4,1,1,1,3,80,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,13119000,NA,300000,4342000,690000,800000,1150000,450000,1000000,270000,2235000,240000000,NA,NA,10920000
10001000910,0,2,1,62,1,2,1,3,NA,1,3,80,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,11160000,NA,3460000,3151000,1806000,250000,1200000,315000,NA,NA,350000,NA,NA,318000000,10920000
10001000911,0,3,1,32,1,2,4,1,1,6,3,80,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,10105000,NA,2955000,2384000,1705000,500000,1850000,237000,1650000,NA,3618000,204000000,NA,NA,16380000
10001000915,0,2,1,27,1,2,2,1,1,6,3,65,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9181500,NA,1320000,2700000,2240000,NA,250000,272000,NA,350000,1256000,240000000,NA,NA,10920000
10001000916,0,3,1,52,1,2,1,3,NA,1,3,65,3,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,11500000,800000,2140000,2807000,1444000,NA,950000,310000,200000,NA,945000,NA,NA,214000000,16380000
